page_id,title,language,navigation_path,url,resource_url,requested_version,observed_version_evidence,fetched_at,body_sha256,cache_path,reading_status,failure_reason
index.md,主页,General,主页,https://support.agibot.com/?gdk_version=2.6.3#index.md,https://genie-data-support-1347244451.oss-cn-shanghai.aliyuncs.com/gdk_api_docs/2.6.3/docs/index.md,2.6.3,Version-scoped official config and resource; browser evidence in gdk_access_report.md,2026-09-08T16:37:19.132Z,ffad957bdd95e2547b9614f6c86ca3608900d2a093a3f736d0048df5884efd31,.cache/gdk/2.6.3/docs/index.md,READ_COMPLETE,
contents/getting-started/quick-start.md,概览,General,快速开始 > 概览,https://support.agibot.com/?gdk_version=2.6.3#contents/getting-started/quick-start.md,https://genie-data-support-1347244451.oss-cn-shanghai.aliyuncs.com/gdk_api_docs/2.6.3/docs/contents/getting-started/quick-start.md,2.6.3,Version-scoped official config and resource; browser evidence in gdk_access_report.md,2026-09-08T16:37:18.826Z,4b513955db0e5ae5676bf3d46c8300c86131e3095abd864a997f10a878781320,.cache/gdk/2.6.3/docs/contents/getting-started/quick-start.md,READ_COMPLETE,
contents/getting-started/quick-start/cpp.md,C++,C++,快速开始 > C++,https://support.agibot.com/?gdk_version=2.6.3#contents/getting-started/quick-start/cpp.md,https://genie-data-support-1347244451.oss-cn-shanghai.aliyuncs.com/gdk_api_docs/2.6.3/docs/contents/getting-started/quick-start/cpp.md,2.6.3,Version-scoped official config and resource; browser evidence in gdk_access_report.md,2026-09-08T16:37:18.830Z,f2467b08f632328b6ef021fb4a10b537e9bc682fa38e08d772712dccd379ab90,.cache/gdk/2.6.3/docs/contents/getting-started/quick-start/cpp.md,READ_COMPLETE,
contents/getting-started/quick-start/python.md,Python,Python,快速开始 > Python,https://support.agibot.com/?gdk_version=2.6.3#contents/getting-started/quick-start/python.md,https://genie-data-support-1347244451.oss-cn-shanghai.aliyuncs.com/gdk_api_docs/2.6.3/docs/contents/getting-started/quick-start/python.md,2.6.3,Version-scoped official config and resource; browser evidence in gdk_access_report.md,2026-09-08T16:37:18.836Z,551a380a8576b9ee25b23d5e161c88cf665ccea9162f899946cd6d0d87fb9d8c,.cache/gdk/2.6.3/docs/contents/getting-started/quick-start/python.md,READ_COMPLETE,
contents/getting-started/quick-start/ros2.md,ROS,ROS2,快速开始 > ROS,https://support.agibot.com/?gdk_version=2.6.3#contents/getting-started/quick-start/ros2.md,https://genie-data-support-1347244451.oss-cn-shanghai.aliyuncs.com/gdk_api_docs/2.6.3/docs/contents/getting-started/quick-start/ros2.md,2.6.3,Version-scoped official config and resource; browser evidence in gdk_access_report.md,2026-09-08T16:37:18.842Z,cbf90c806f517cdc75831ab5b9d34e991c446f5f16373ddd9c911625cd5be51b,.cache/gdk/2.6.3/docs/contents/getting-started/quick-start/ros2.md,READ_COMPLETE,
contents/concepts/hybrid_deploy.md,混合部署,General,基本概念 > 混合部署,https://support.agibot.com/?gdk_version=2.6.3#contents/concepts/hybrid_deploy.md,https://genie-data-support-1347244451.oss-cn-shanghai.aliyuncs.com/gdk_api_docs/2.6.3/docs/contents/concepts/hybrid_deploy.md,2.6.3,Version-scoped official config and resource; browser evidence in gdk_access_report.md,2026-09-08T16:37:18.848Z,a28cb7431b41f86d24eff09d06508aeaea2635790ca16eb649f780b32f5ac56a,.cache/gdk/2.6.3/docs/contents/concepts/hybrid_deploy.md,READ_COMPLETE,
contents/concepts/transform.md,TF坐标变换,General,基本概念 > TF坐标变换,https://support.agibot.com/?gdk_version=2.6.3#contents/concepts/transform.md,https://genie-data-support-1347244451.oss-cn-shanghai.aliyuncs.com/gdk_api_docs/2.6.3/docs/contents/concepts/transform.md,2.6.3,Version-scoped official config and resource; browser evidence in gdk_access_report.md,2026-09-08T16:37:18.853Z,ca4e89a7e211d009765f347aa91331d0ff0e8010eb815b26fc8c4e8c00707b9d,.cache/gdk/2.6.3/docs/contents/concepts/transform.md,READ_COMPLETE,
contents/howto/deploy.md,部署,General,如何使用 > 部署,https://support.agibot.com/?gdk_version=2.6.3#contents/howto/deploy.md,https://genie-data-support-1347244451.oss-cn-shanghai.aliyuncs.com/gdk_api_docs/2.6.3/docs/contents/howto/deploy.md,2.6.3,Version-scoped official config and resource; browser evidence in gdk_access_report.md,2026-09-08T16:37:18.857Z,1d5cb1f24438b752dee3dae35275ee0db07aa9898cfb82ff9a8a5eaa5744f7d3,.cache/gdk/2.6.3/docs/contents/howto/deploy.md,READ_COMPLETE,
contents/howto/ptp.md,时间同步,General,如何使用 > 时间同步,https://support.agibot.com/?gdk_version=2.6.3#contents/howto/ptp.md,https://genie-data-support-1347244451.oss-cn-shanghai.aliyuncs.com/gdk_api_docs/2.6.3/docs/contents/howto/ptp.md,2.6.3,Version-scoped official config and resource; browser evidence in gdk_access_report.md,2026-09-08T16:37:18.905Z,459874d6fe685ab5fe56f6c3d97399704352ed64bfa8376f307799e6cdad6d0c,.cache/gdk/2.6.3/docs/contents/howto/ptp.md,READ_COMPLETE,
contents/howto/cpp.md,C++,C++,如何使用 > C++,https://support.agibot.com/?gdk_version=2.6.3#contents/howto/cpp.md,https://genie-data-support-1347244451.oss-cn-shanghai.aliyuncs.com/gdk_api_docs/2.6.3/docs/contents/howto/cpp.md,2.6.3,Version-scoped official config and resource; browser evidence in gdk_access_report.md,2026-09-08T16:37:18.864Z,faabdc6482ca671cd73ab761872888f7e4435d4268e2708e82ea07b616f372a9,.cache/gdk/2.6.3/docs/contents/howto/cpp.md,READ_COMPLETE,
contents/howto/python.md,python使用,Python,如何使用 > python使用,https://support.agibot.com/?gdk_version=2.6.3#contents/howto/python.md,https://genie-data-support-1347244451.oss-cn-shanghai.aliyuncs.com/gdk_api_docs/2.6.3/docs/contents/howto/python.md,2.6.3,Version-scoped official config and resource; browser evidence in gdk_access_report.md,2026-09-08T16:37:18.896Z,28d3fd721c559b5286bf0b113c1cdee48d497d463afb40fc90ba6b2ec58c9db0,.cache/gdk/2.6.3/docs/contents/howto/python.md,READ_COMPLETE,
contents/howto/ros2.md,ROS2使用,ROS2,如何使用 > ROS2使用,https://support.agibot.com/?gdk_version=2.6.3#contents/howto/ros2.md,https://genie-data-support-1347244451.oss-cn-shanghai.aliyuncs.com/gdk_api_docs/2.6.3/docs/contents/howto/ros2.md,2.6.3,Version-scoped official config and resource; browser evidence in gdk_access_report.md,2026-09-08T16:37:18.955Z,cb785b1803222b5e880c8dac4e08619b5e029a2a2fb19413df85226cd31daa36,.cache/gdk/2.6.3/docs/contents/howto/ros2.md,READ_COMPLETE,
contents/tools/mc_example.md,关节控制工具,General,工具 > 关节控制工具,https://support.agibot.com/?gdk_version=2.6.3#contents/tools/mc_example.md,https://genie-data-support-1347244451.oss-cn-shanghai.aliyuncs.com/gdk_api_docs/2.6.3/docs/contents/tools/mc_example.md,2.6.3,Version-scoped official config and resource; browser evidence in gdk_access_report.md,2026-09-08T16:37:18.910Z,55064572182294ec99089076cf2f2d82121795b12f5a8b01993b2336d9c3589f,.cache/gdk/2.6.3/docs/contents/tools/mc_example.md,READ_COMPLETE,
contents/tools/camera_web_viewer.md,Web相机查看器,General,工具 > Web相机查看器,https://support.agibot.com/?gdk_version=2.6.3#contents/tools/camera_web_viewer.md,https://genie-data-support-1347244451.oss-cn-shanghai.aliyuncs.com/gdk_api_docs/2.6.3/docs/contents/tools/camera_web_viewer.md,2.6.3,Version-scoped official config and resource; browser evidence in gdk_access_report.md,2026-09-08T16:37:18.960Z,b9bb4aa42995ad3426ff3c3db291880c6bc32a3f898daa04a7aa9c9e41ed7796,.cache/gdk/2.6.3/docs/contents/tools/camera_web_viewer.md,READ_COMPLETE,
contents/reference/Python/common.md,Common,Python,接口文档 > Python > Common,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/common.md,https://genie-data-support-1347244451.oss-cn-shanghai.aliyuncs.com/gdk_api_docs/2.6.3/docs/contents/reference/Python/common.md,2.6.3,Version-scoped official config and resource; browser evidence in gdk_access_report.md,2026-09-08T16:37:18.916Z,86af0f7f25ef3d7a11721eca151fd1870895e62093a56783c6e6ae4f06decb79,.cache/gdk/2.6.3/docs/contents/reference/Python/common.md,READ_COMPLETE,
contents/reference/Python/types.md,Types,Python,接口文档 > Python > Types,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md,https://genie-data-support-1347244451.oss-cn-shanghai.aliyuncs.com/gdk_api_docs/2.6.3/docs/contents/reference/Python/types.md,2.6.3,Version-scoped official config and resource; browser evidence in gdk_access_report.md,2026-09-08T16:37:18.924Z,2fbf79d3960c2f7293e251b428d0d19a93729a443a636b525b0dcd0e9277c425,.cache/gdk/2.6.3/docs/contents/reference/Python/types.md,READ_COMPLETE,
