page_id,language,module_class,symbol,original_signature,purpose,used_in_task,verification_status,source_line,parameters_verbatim,returns_verbatim,kind,source_url
contents/reference/Python/common.md,Python,Global,gdk_init,gdk_init() [heading; full declaration NOT DOCUMENTED; SDK UNVERIFIED],初始化GDK系统,YES_READ_ONLY_DOC_IMPLEMENTED,DOCUMENTED_PARAMETERS; SDK_UNVERIFIED,9,无,`GDKRes`，操作结果状态码,method,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/common.md
contents/reference/Python/common.md,Python,Global,gdk_release,gdk_release() [heading; full declaration NOT DOCUMENTED; SDK UNVERIFIED],释放GDK系统资源,YES_READ_ONLY_DOC_IMPLEMENTED,DOCUMENTED_PARAMETERS; SDK_UNVERIFIED,39,无,`GDKRes`，操作结果状态码,method,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/common.md
contents/reference/Python/types.md,Python,Types,GDKRes,NOT A FUNCTION; type/table declaration GDKRes,Documented data type or enumeration,NO,DOCUMENTED_TYPE; SDK_UNVERIFIED,9,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/types.md,Python,Types,CameraType,NOT A FUNCTION; type/table declaration CameraType,Documented data type or enumeration,NO,DOCUMENTED_TYPE; SDK_UNVERIFIED,32,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/types.md,Python,Types,LidarType,NOT A FUNCTION; type/table declaration LidarType,Documented data type or enumeration,NO,DOCUMENTED_TYPE; SDK_UNVERIFIED,57,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/types.md,Python,Types,ImuType,NOT A FUNCTION; type/table declaration ImuType,Documented data type or enumeration,NO,DOCUMENTED_TYPE; SDK_UNVERIFIED,75,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/types.md,Python,Types,EndEffectorControlGroup,NOT A FUNCTION; type/table declaration EndEffectorControlGroup,Documented data type or enumeration,NO,DOCUMENTED_TYPE; SDK_UNVERIFIED,94,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/types.md,Python,Types,SensorExtrinsicType,NOT A FUNCTION; type/table declaration SensorExtrinsicType,Documented data type or enumeration,NO,DOCUMENTED_TYPE; SDK_UNVERIFIED,122,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/types.md,Python,Types,Vector3,NOT A FUNCTION; type/table declaration Vector3,Documented data type or enumeration,NO,DOCUMENTED_TYPE; SDK_UNVERIFIED,157,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/types.md,Python,Types,Quaternion,NOT A FUNCTION; type/table declaration Quaternion,Documented data type or enumeration,NO,DOCUMENTED_TYPE; SDK_UNVERIFIED,178,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/types.md,Python,Types,Pose,NOT A FUNCTION; type/table declaration Pose,Documented data type or enumeration,NO,DOCUMENTED_TYPE; SDK_UNVERIFIED,201,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/types.md,Python,Types,Twist,NOT A FUNCTION; type/table declaration Twist,Documented data type or enumeration,NO,DOCUMENTED_TYPE; SDK_UNVERIFIED,222,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/types.md,Python,Types,Wrench,NOT A FUNCTION; type/table declaration Wrench,Documented data type or enumeration,NO,DOCUMENTED_TYPE; SDK_UNVERIFIED,241,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/types.md,Python,Types,Image,NOT A FUNCTION; type/table declaration Image,Documented data type or enumeration,NO,DOCUMENTED_TYPE; SDK_UNVERIFIED,262,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/types.md,Python,Types,PointCloud,NOT A FUNCTION; type/table declaration PointCloud,Documented data type or enumeration,NO,DOCUMENTED_TYPE; SDK_UNVERIFIED,295,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/types.md,Python,Types,ImuData,NOT A FUNCTION; type/table declaration ImuData,Documented data type or enumeration,NO,DOCUMENTED_TYPE; SDK_UNVERIFIED,330,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/types.md,Python,Types,CameraIntrinsic,NOT A FUNCTION; type/table declaration CameraIntrinsic,Documented data type or enumeration,NO,DOCUMENTED_TYPE; SDK_UNVERIFIED,356,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/types.md,Python,Types,JointState,NOT A FUNCTION; type/table declaration JointState,Documented data type or enumeration,NO,DOCUMENTED_TYPE; SDK_UNVERIFIED,388,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/types.md,Python,Types,JointControlReq,NOT A FUNCTION; type/table declaration JointControlReq,Documented data type or enumeration,DOC_CONTRACT_CONSTRUCTION_ONLY; REAL_TYPE_NOT_LOADED,DOCUMENTED_TYPE; SDK_UNVERIFIED,422,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/types.md,Python,Types,EndEffectorPose,NOT A FUNCTION; type/table declaration EndEffectorPose,Documented data type or enumeration,NO,DOCUMENTED_TYPE; SDK_UNVERIFIED,454,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/types.md,Python,Types,MapInfo,NOT A FUNCTION; type/table declaration MapInfo,Documented data type or enumeration,NO,DOCUMENTED_TYPE; SDK_UNVERIFIED,503,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/types.md,Python,Types,OccupancyGrid,NOT A FUNCTION; type/table declaration OccupancyGrid,Documented data type or enumeration,NO,DOCUMENTED_TYPE; SDK_UNVERIFIED,546,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/types.md,Python,Types,Transform,NOT A FUNCTION; type/table declaration Transform,Documented data type or enumeration,NO,DOCUMENTED_TYPE; SDK_UNVERIFIED,578,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/types.md,Python,Types,TransformStamped,NOT A FUNCTION; type/table declaration TransformStamped,Documented data type or enumeration,NO,DOCUMENTED_TYPE; SDK_UNVERIFIED,601,See source member table,N/A,type,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/types.md
contents/reference/Python/tf.md,Python,TF,get_all_tf_from_base_link,get_all_tf_from_base_link() [heading; full declaration NOT DOCUMENTED; SDK UNVERIFIED],获取从base_link到所有子坐标系的变换关系,NO,DOCUMENTED_PARAMETERS; SDK_UNVERIFIED,13,无,`list[TransformStamped]`，包含所有变换关系的列表，失败时抛出异常,method,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/tf.md
contents/reference/Python/tf.md,Python,TF,get_tf_from_base_link,get_tf_from_base_link() [heading; full declaration NOT DOCUMENTED; SDK UNVERIFIED],获取从base_link到指定子坐标系的变换关系,NO,DOCUMENTED_PARAMETERS; SDK_UNVERIFIED,72,- `child_frame_id`：子坐标系ID（字符串）,`Transform`对象，包含变换信息，失败时抛出异常,method,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/tf.md
contents/reference/Python/tf.md,Python,TF,get_tf_from_sensor,get_tf_from_sensor() [heading; full declaration NOT DOCUMENTED; SDK UNVERIFIED],获取从base_link到指定传感器的变换关系,NO,DOCUMENTED_PARAMETERS; SDK_UNVERIFIED,126,- `sensor_extrinsic_type`：传感器外参类型（枚举值）,`Transform`对象，包含变换信息，失败时抛出异常,method,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/tf.md
contents/reference/Python/tf.md,Python,TF,lookup_transform_latest,lookup_transform_latest() [heading; full declaration NOT DOCUMENTED; SDK UNVERIFIED],查询两个坐标系之间的最新变换关系,NO,DOCUMENTED_PARAMETERS; SDK_UNVERIFIED,202,- `target_frame`：目标坐标系ID（字符串） - `source_frame`：源坐标系ID（字符串） - `return_timestamp`：是否返回时间戳（布尔值，可选，默认为`False`）,NOT DOCUMENTED,method,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/tf.md
contents/reference/Python/tf.md,Python,TF,lookup_transform,lookup_transform() [heading; full declaration NOT DOCUMENTED; SDK UNVERIFIED],查询两个坐标系在特定时间的变换关系（支持时间插值）,NO,DOCUMENTED_PARAMETERS; SDK_UNVERIFIED,253,- `target_frame`：目标坐标系ID（字符串） - `source_frame`：源坐标系ID（字符串） - `time_ns`：查询时间（纳秒时间戳，整数）,`Transform`对象，包含变换信息，失败时抛出异常,method,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/tf.md
contents/reference/Python/tf.md,Python,TF,can_transform,can_transform() [heading; full declaration NOT DOCUMENTED; SDK UNVERIFIED],检查两个坐标系之间是否存在变换关系,NO,DOCUMENTED_PARAMETERS; SDK_UNVERIFIED,299,- `target_frame`：目标坐标系ID（字符串） - `source_frame`：源坐标系ID（字符串）,`bool`，如果存在变换关系返回`True`，否则返回`False`,method,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/tf.md
contents/reference/Python/tf.md,Python,TF,get_all_frame_names,get_all_frame_names() [heading; full declaration NOT DOCUMENTED; SDK UNVERIFIED],获取所有可用的坐标系名称,NO,DOCUMENTED_PARAMETERS; SDK_UNVERIFIED,335,无,`list[str]`，包含所有坐标系名称的列表,method,https://support.agibot.com/?gdk_version=2.6.3#contents/reference/Python/tf.md
